collection,series,piece,item,Covering_date,Type,Former Reference,Title,Author
CAB,67,1,1,5-Sep-39,Memorandum,WP (G) (39) 1,Institution of the War Cabinet. Consequential Changes in the Organisation and Procedure of the Cabinet Offices.,E E Bridges
CAB,67,1,2,5-Sep-39,Memorandum,WP (G) (39) 2,Purchasing Commission in the United States of America.,E Leslie Burgin
CAB,67,1,3,6-Sep-39,Memorandum,WP (G) (39) 3,Periodical Reports by Departments.,Neville Chamberlain
CAB,67,1,4,7-Sep-39,Memorandum,WP (G) (39) 4,Afghanistan: Proposed Agreement.,Halifax and Zetland
CAB,67,1,5,6-Sep-39,Memorandum,WP (G) (39) 5,Action taken by the Dominions.,Anthony Eden
CAB,67,1,6,12-Sep-39,Memorandum,WP (G) (39) 6,Assistance from India.,Zetland
CAB,67,1,7,13-Sep-39,Memorandum,WP (G) (39) 7,Commercial Relations with the Soviet Union.,O F G Stanley
CAB,67,1,8,15-Sep-39,Memorandum,WP (G) (39) 8,Procedure.,Neville Chamberlain
CAB,67,1,9,15-Sep-39,Memorandum,WP (G) (39) 9,Efficacy of Present Propaganda Campaign undertaken in Germany through the agency of the Royal Air Force.,Macmillan
CAB,67,1,10,14-Sep-39,Memorandum,WP (G) (39) 10,Dominion Collaboration. Report of Ministerial Committee.,Hankey
CAB,67,1,11,15-Sep-39,Memorandum,WP (G) (39) 11,Review of Building Programmes.,E E Bridges
CAB,67,1,12,18-Sep-39,Memorandum,WP (G) (39) 12,The question of responsibility for the supply of news to the public.,Macmillan
CAB,67,1,13,16-Sep-39,Memorandum,WP (G) (39) 13,Consignment of Timber from U.S.S.R. and Machine Tools for U.S.S.R.,Leslie Burgin
CAB,67,1,14,19-Sep-39,Memorandum,WP (G) (39) 14,Restriction of Imports from the United States and Canada.,O F G Stanley
CAB,67,1,15,19-Sep-39,Memorandum,WP (G) (39) 15,Merchant Ship Construction.,O F G Stanley
CAB,67,1,16,23-Sep-39,Memorandum,WP (G) (39) 16,Control of Sale and Purchase of Wireless Transmitters and certain other Electrical Apparatus.,George C Tryon
CAB,67,1,17,21-Sep-39,Memorandum,WP (G) (39) 17,War Cabinet Committees.,E E Bridges
CAB,67,1,18,22-Sep-39,Memorandum,WP (G) (39) 18,Restriction of Imports from Canada.,Anthony Eden
CAB,67,1,19,25-Sep-39,Memorandum,WP (G) (39) 19,Despatch of Personal Messages of Condolence.,Chatfield
CAB,67,1,20,18-Oct-39,Memorandum,WP (G) (39) 20,Release from the Armed Forces of Key Men in Industry.,Chatfield
CAB,67,1,21,25-Sep-39,Memorandum,WP (G) (39) 21,India and the War.,Zetland
CAB,67,1,22,28-Sep-39,Memorandum,WP (G) (39) 22,The Calling up of Men for the Armed Forces.,Ernest Brown
CAB,67,1,23,28-Sep-39,Memorandum,WP (G) (39) 23,Arrangements for distribution of news and censorship.,Macmillan
CAB,67,1,24,29-Sep-39,Memorandum,WP (G) (39) 24,India and the War.,Zetland
CAB,67,1,25,3-Oct-39,Memorandum,WP (G) (39) 25,"Appointment of Inter-Departmental Committee to Co-ordinate Anglo-French Supply and Purchase of War Material, etc.",E E Bridges
CAB,67,1,26,3-Oct-39,Memorandum,WP (G) (39) 26,"Economic Policy. Appointment of Adviser on Economic Co-operation, and Inter-Departmental Committee on Economic Policy.",E E Bridges
CAB,67,1,27,3-Oct-39,Memorandum,WP (G) (39) 27,Recovery from Parents of Cost of Billeting School Children. First Report by the Civil Defence Committee.,John Anderson
CAB,67,1,28,5-Oct-39,Memorandum,WP (G) (39) 28,Ministerial Committee on Economic Policy.,E E Bridges
CAB,67,1,29,5-Oct-39,Memorandum,WP (G) (39) 29,India and the War.,Zetland
CAB,67,1,30,10-Oct-39,Memorandum,WP (G) (39) 30,Prices of Goods Bill.,John Simon
CAB,67,1,31,12-Oct-39,Memorandum,WP (G) (39) 31,Polish Refugee Problem.,Halifax
CAB,67,1,32,12-Oct-39,Memorandum,WP (G) (39) 32,India and the War.,Zetland
CAB,67,1,33,13-Oct-39,Memorandum,WP (G) (39) 33,Change of Meeting Place of Parliament.,E E Bridges
CAB,67,1,34,8-Oct-39,Memorandum,WP (G) (39) 34,The Scope and Organisation of the Ministry of Information.,Macmillan
CAB,67,1,35,12-Oct-39,Memorandum,WP (G) (39) 35,Diversion of Shipping.,Euan Wallace
CAB,67,1,36,14-Oct-39,Memorandum,WP (G) (39) 36,Stop the War Propaganda.,John Anderson
CAB,67,1,37,16-Oct-39,Memorandum,WP (G) (39) 37,The Urgency of Chartering Neutral Tonnage.,W S Churchill
CAB,67,1,38,17-Oct-39,Memorandum,WP (G) (39) 38,The Wearing of Uniform by Members of United Kingdom Forces when visiting Eire on leave.,Anthony Eden
CAB,67,1,39,17-Oct-39,Memorandum,WP (G) (39) 39,Wages in the Coal Industry.,John Simon
CAB,67,1,40,17-Oct-39,Memorandum,WP (G) (39) 40,The Press and Censorship Bureau under the supervision of Sir Walter Monckton.,John Anderson
CAB,67,1,41,18-Oct-39,Memorandum,WP (G) (39) 41,Arrangements for the Visit of Dominion Ministers.,Anthony Eden
CAB,67,1,42,18-Oct-39,Memorandum,WP (G) (39) 42,The Urgent Freight Requirements of the Ministry of Food.,William Shepherd Morrison
