collection,series,piece,item,Covering_date,Type,Former Reference,Attendees,Agenda
CAB,128,1,1,7-Aug-45,Conclusion,CM (45) 18,"C Attlee , H Morrison , A Greenwood , S Cripps , Jowitt , Addison , G Hall , Stansgate , G Isaacs , E Wilkinson , E Bevin , H Dalton , A Alexander , J Chuter Ede , F Pethick-Lawrence , J Lawson , J Westwood , E Shinwell , A Bevan , T Williams , W Whiteley , C Portal , A Cadogan , A Brooke , N Syfret.",1. Review of Military Situation; 2. Germany - Occupied Areas; 3. Foreign Affairs; 4. Tangier; 5. Parliament - King's Speech on the Opening of Parliament; 6. Parliament - Hours of Sitting and Debate on the Address; 7. Cotton Industry; 8. Standing Committees of the Cabinet; 9. Procedure: Future Meetings.
CAB,128,1,2,9-Aug-45,Conclusion,CM (45) 19,"C Attlee , H Morrison , A Greenwood , S Cripps , Jowitt , Addison , G Hall , Stansgate , G Isaacs , E Wilkinson , E Bevin , H Dalton , A Alexander , J Chuter Ede , F Pethick-Lawrence , J Lawson , J Westwood , E Shinwell , A Bevan , T Williams , J Wilmot , W Whiteley , L Silkin , A Cadogan.",1. Parliament - King's Speech on the Opening of Parliament; 2. Parliament - Parliamentary Time; 3. Manufacture of Mosquito Aircraft in France; 4. Captured German Archives; 5. Japan - Treatment after Defeat; 6. World Youth Conference.
CAB,128,1,3,10-Aug-45,Conclusion,CM (45) 20,"C Attlee , H Morrison , A Greenwood , S Cripps , Jowitt , Addison , G Hall , Stansgate , E Shinwell , E Bevin , H Dalton , A Alexander , J Chuter Ede , F Pethick-Lawrence , J Lawson , G Isaacs , E Wilkinson , A Bevan , W Whiteley , A Cunningham , A Cadogan , C Portal , A Brooke.",1. Japan - Offer of Surrender; 2. Japan - Military Dispositions on Surrender; 3. Japan - Terms of Surrender; 4. War Production and Man-power - Adjustment after Surrender of Japan; 5. Parliament - King's Speech on the Opening of Parliament; 6. Arrangements for Celebrating the End of the War.
CAB,128,1,4,14-Aug-45,Conclusion,CM (45) 21,"C Attlee , H Morrison , A Greenwood , S Cripps , Jowitt , Addison , G Hall , Stansgate , G Isaacs , E Wilkinson , E Bevin , H Dalton , A Alexander , J Chuter Ede , F Pethick-Lawrence , J Lawson , J Westwood , E Shinwell , A Bevan , T Williams , E Williams , A Cadogan , C Portal , W Whiteley , A Cunningham , A Brooke.",1. Chiefs of Staff; 2. Japan - Offer of Surrender - Terms of Surrender; 3. Press Censorship - Continuance after Surrender of Japan; 4. Greece; 5. Parliament - Modifications in Parliamentary Procedure.
CAB,128,1,5,14-Aug-45,Conclusion,CM (45) 22,"C Attlee , H Morrison , A Greenwood , S Cripps , Jowitt , F Pethick-Lawrence , Stansgate , G Isaacs , E Wilkinson , E Bevin , H Dalton , A Alexander , J Chuter Ede , J Lawson , J Westwood , E Shinwell , A Bevan , T Williams.",1. Japan - Surrender
CAB,128,1,6,16-Aug-45,Conclusion,CM (45) 23,"C Attlee , H Morrison , A Greenwood , S Cripps , Jowitt , Addison , G Hall , Stansgate , G Isaacs , E Wilkinson , E Bevin , H Dalton , A Alexander , J Chuter Ede , F Pethick-Lawrence , J Lawson , J Westwood , E Shinwell , A Bevan , T Williams , J Wilmot , B Smith , A Barnes , G Tomlinson.",1. Man-Power; 2. Economic Controls in the Transition Period - Supplies and Services (Transitional Powers) Bill; 3. British North Borneo - Negotiations with Chartered Company; 4. Overseas Financial Prospects.
CAB,128,1,7,20-Aug-45,Conclusion,CM (45) 24,"C Attlee , H Morrison , A Greenwood , S Cripps , Jowitt , Addison , G Hall , Stansgate , G Isaacs , E Wilkinson , E Bevin , H Dalton , A Alexander , J Chuter Ede , Pethick-Lawrence , J Lawson , J Westwood , E Shinwell , A Bevan , T Williams , Listowel , A Henderson.",1. India - Constitutional Problem; 2. Economic Controls in the Transition Period - Supplies and Services (Transitional Powers) Bill.
CAB,128,1,8,23-Aug-45,Conclusion,CM (45) 25,"C Attlee , H Morrison , A Greenwood , S Cripps , Jowitt , Addison , G Hall , Stansgate , G Isaacs , E Wilkinson , E Bevin , H Dalton , A Alexander , J Chuter Ede , Pethick-Lawrence , J Lawson , J Westwood , E Shinwell , A Bevan , T Williams , G Tomlinson , O Sargent.","1. Syria and the Lebanon; 2. Civil Defence - Proposed Suspension of Civil Defence Acts, 1937-1939; 3. Education - Raising of School Leaving Age."
CAB,128,1,9,30-Aug-45,Conclusion,CM (45) 26,"C Attlee , H Morrison , A Greenwood , A Alexander , J Chuter Ede , Pethick-Lawrence , J Lawson , J Westwood , E Shinwell , A Bevan , E Bevin , S Cripps , Jowitt , Addison , G Hall , Stansgate , G Isaacs , E Wilkinson , T Williams , J Wilmot , W Hall , P Noel-Baker , A Cadogan.",1. Assistance for Liberated Europe - Personnel - Vehicles - Clothing; 2. Middle East - Future Policy; 3. Ceylon; 4. Man-Power.
CAB,128,1,10,3-Sep-45,Conclusion,CM (45) 27,"C Attlee , H Morrison , A Greenwood , S Cripps , Jowitt , Pethick-Lawrence , J Lawson , E Shinwell , A Bevan , E Bevin , H Dalton , A Alexander , J Chuter Ede , G Hall , Stansgate , E Wilkinson , T Williams , J Wilmot , J Parker , A Cadogan.",1. Future of Italian Colonies; 2. Ceylon; 3. Malaya and Borneo; 4. Manufacture of Aircraft in France.
CAB,128,1,11,4-Sep-45,Conclusion,CM (45) 28,"C Attlee , H Morrison , A Greenwood , S Cripps , J Chuter Ede , G Hall , Stansgate , G Isaacs , E Wilkinson , E Bevin , H Dalton , A Alexander , Pethick-Lawrence , J Lawson , J Westwood , E Shinwell , A Bevan , T Williams , J Wilmot.",1. Education - Raising of School Leaving Age; 2. Industrial Organisation and Efficiency; 3. Man-power; 4. Monetary Awards.
CAB,128,1,12,6-Sep-45,Conclusion,CM (45) 29,"C Attlee , H Morrison , A Greenwood , S Cripps , J Chuter Ede , G Hall , Stansgate , E Wilkinson , E Bevin , H Dalton , A Alexander , Pethick-Lawrence , J Lawson , E Shinwell , A Bevan , T Williams , E Williams , N Edwards , C Hurcome.",1. Shipping; 2. Europe - Danger of Epidemics; 3. The Daily Worker and Accredited War Correspondents; 4. War Graves on German Soil; 5. Parliament - Electoral Reform; 6. Selling Price of Houses
CAB,128,1,13,11-Sep-45,Conclusion,CM (45) 30,"C Attlee , H Morrison , A Greenwood , S Cripps , J Chuter Ede , Pethick-Lawrence , J Lawson , G Isaacs , E Bevin , H Dalton , A Alexander , Addison , G Hall , Stansgate , E Shinwell , A Bevan , H Shawcross , G Thomson , A Cadogan.",1. India; 2. Future Provision of Officers for the Indian Armed Services; 3. Ceylon; 4. Tobacco - Purchases in the United States; 5. Disposal of Italian Colonies and of Italian Mediterranean Islands; 6. Parliament - Report of Select Committee on Elections; 7. Palestine.
CAB,128,1,14,13-Sep-45,Conclusion,CM (45) 31,"C Attlee , H Morrison , H Dalton , A Alexander , Addison , G Hall , E Shinwell , E Bevin , S Cripps , J Chuter Ede , Pethick-Lawrence , Stansgate , A Bevan , H Shawcross , N Edwards , Huntingdon.",1. Conscientious objectors; 2. Armistice Day; 3. Trade Disputes and Trade Unions Act Repeal Bill; 4. Bank of England Bill; 5. Industrial Disarmament of Germany.
CAB,128,1,15,15-Sep-45,Conclusion,CM (45) 32,"C Attlee , E Bevin , S Cripps , Addison , Stansgate , H Dalton , J Chuter Ede , Pethick-Lawrence , G Isaacs , A Bevan , A Jones , A Cadogan , A Cunningham , Nathan , R Campbell , Archibald-Nye , W Dickson.",1. Tripolitania - Colonial Trusteeship.
CAB,128,1,16,18-Sep-45,Conclusion,CM (45) 33,"C Attlee , A Greenwood , S Cripps , Addison , G Hall , E Shinwell , H Dalton , J Chuter Ede , Pethick-Lawrence , G Isaacs , E Wilkinson , A Bevan , A Barnes , G Tomlinson , Nathan , B Smith , P Noel-Baker , Huntingdon.",1. Parliament - Legislative Programme; 2. Prisoners of War; 3. Prisoners of War - Employment of German and Italian Prisoners of War; 4. Man-Power - Employment Situation; 5. Relations with Eire; 6. Travel Facilities - Relaxation of Restrictions on Travel Overseas; 7. William Joyce.
