collection,series,piece,item,Covering_date,Type,Former Reference,Title,Author,,
CAB,24,1,1,3-Jan-15,Memorandum,G 1,Relative Strengths of the Opposing Forces on either side of the European Theatre of War.,John French,,
CAB,24,1,2,1-Jan-15,Memorandum,G 2,Suggestions as to the Military Position.,D Lloyd George,,
CAB,24,1,3,6-Jan-15,Memorandum,G 3,A Comparison of the Belligerent Forces.,War Office,,
CAB,24,1,4,29-Jan-15,Memorandum,G 4,The War. After Six Months.,Esher,,
CAB,24,1,5,5-Feb-15,Memorandum,G 5,The Dardanelles.,Julian Corbett,,
CAB,24,1,6,24-Feb-15,Memorandum,G 6,The Dardanelles and Balkans Operations.,A J Balfour,,
CAB,24,1,7,22-Feb-15,Memorandum,G 7,Some Further Considerations on the Conduct of the War.,Lloyd George,,
CAB,24,1,8,2-Feb-15,Memorandum,G 8,Attack on the Dardanelles.,M P A Hankey,,
CAB,24,1,9,25-Feb-15,Memorandum,G 9,Remarks by the Secretary of State for War on the Chancellor of the Exchequer's Memorandum (G 7) on the Conduct of the War.,Kitchener,,
CAB,24,1,10,1-Mar-15,Memorandum,G 10,After the Dardanelles. The Next Steps.,M P A Hankey,,
CAB,24,1,11,11-Mar-15,Memorandum,G 11,Russia and Constantinople.,Secretary,,
CAB,24,1,12,16-Mar-15,Memorandum,G 12,Alexandretta and Mesopotamia.,Kitchener,,
CAB,24,1,13,17-Mar-15,Memorandum,G 13,Alexandretta and Mesopotamia.,Admiralty,,
CAB,24,1,14,17-Mar-15,Memorandum,G 14,Alexandretta.,Secretary,,
CAB,24,1,15,18-Mar-15,Memorandum,G 15,Alexandretta. Its Importance as a Future Base.,H B Jackson,,
CAB,24,1,16,14-Mar-15,Memorandum,G 16,The Future Settlement of Eastern Turkey in Asia and Arabia.,Secretary,,
CAB,24,1,17,15-Mar-15,Memorandum,G 17,Russia and Constantinople.,A K Wilson,,
CAB,24,1,18,16-Jun-15,Memorandum,G 18,The Dardanelles.,M P A Hankey,,
CAB,24,1,19,30-Aug-15,Memorandum,G 19,"The Dardanelles. Memorandum on the Situation, August 30, 1915.",Secretary,,
CAB,24,1,20,7-Sep-15,Memorandum,G 20,Blockade and Contraband in the Levant.,M P A Hankey,,
CAB,24,1,21,7-Sep-15,Memorandum,G 21,Report on the Weather on the Shores of the Aegean Sea during the Winter Months - with Charts.,Meteorological Office,,
CAB,24,1,22,22-Sep-15,Memorandum,G 22,Preparations for a Winter Campaign at the Dardanelles.,Secretary,,
CAB,24,1,23,21-Sep-15,Memorandum,G 23,The Position in the Balkans.,Secretary,,
CAB,24,1,24,24-Sep-15,Memorandum,G 24,"Appreciation of the Situation in the Balkans by the General Staff, War Office.",General Staff,,
