collection,series,piece,item,Covering_date,Type,Former Reference,Attendees,Agenda
CAB,65,1,1,3-Sep-39,Conclusion,WM (39) 1,"N Chamberlain, J Simon, Chatfield, L Hore-Belisha, S Hoare, Halifax, W Churchill, K Wood, Hankey, J Wilson, Gort, C Newall, D Pound.",1. Procedure; 2. Air Action - Action by the French Air Force. Dropping of Propaganda Leaflets; 3. War Production; 4. Arrangements to provide Information to the Dominions in regard to our War Plans; 5. Assistance Offered by the Dominions; 6. Command in the Field; 7. Periodical Reports from Departments; 8. Attitude of Turkey; 9. Roumania; 10. Military Appointments
CAB,65,1,2,4-Sep-39,Conclusion,WM (39) 2,"N Chamberlain, J Simon, Chatfield, L Hore-Belisha, S Hoare, Halifax, W Churchill, K Wood, Hankey, A Eden, W Morrison, W Elliot, H Wilson, D Pound, J Anderson, J Colville, E Brown, C Newall, W Ironside, J Kennedy.",1. Turkey; 2. Italy; 3. The Far Eastern Situation; 4. Attitude of the Dominions - South Africa - Eire; 5. Report on the Air Situation - Operations on 3rd September - Operations contemplated on 4th September - Inter-Allied Operations in Support of Poland; 6. Naval Situation - Sinking of Steamship Athenia and Steamship Blairbeg - Convoy System; 7. Army Situation - A.D.G.B. and Field Force - Military Situation in Poland; 8. Arrangements to provide Ministers outside the War Cabinet with Information; 9. Purchase of Neutral Shipping; 10. Financial Measures - Exchange Control - Gold Reserves; 11. National Registration - Food Rationing; 12. Closing of Theatres and Cinemas; 13. Appointment of Home Policy Committee
CAB,65,1,3,5-Sep-39,Conclusion,WM (39) 3,"N Chamberlain, J Simon, Chatfield, L Hore-Belisha, S Hoare, Halifax, W Churchill, K Wood, Hankey, J Anderson, H Wilson, R Adam, A Eden, D Pound, R Peirse.",1. Alleged Violation of Netherland Neutrality by the R.A.F.; 2. Alleged Flight by a Foreign Aircraft over Belgian Territory; 3. Dropping of a Bomb on Danish Territory; 4. Turkey; 5. The Far Eastern Situation; 6. Eire; 7. South Africa; 8. Air Operations; 9. Naval Situation - Italian Submarines; 10. Army Situation - Poland; 11. Anglo-French Operations
CAB,65,1,4,5-Sep-39,Conclusion,WM (39) 4,"N Chamberlain, J Simon, Chatfield, L Hore-Belisha, S Hoare, Halifax, W Churchill, K Wood, Hankey, J Anderson, H Wilson, D Pound, A Eden, C Newall, W Ironside, R Adam.",1. Anglo-French Plan of Operations; 2. Aircraft Production; 3. Possibility of Obtaining War Material from Italy
CAB,65,1,5,6-Sep-39,Conclusion,WM (39) 5,"N Chamberlain, J Simon, Chatfield, L Hore-Belisha, S Hoare, Halifax, W Churchill, K Wood, Hankey, J Anderson, Macmillan, C Newall, W Ironside, A Eden, H Wilson, D Pound, A Waterfield.",1. Gold held by the Bank of England on Bank of International Settlements Account; 2. Turkey; 3. The Position of Turkey in Relation to the Straits Passage; 4. The Possibility of Establishing Communications with Poland through Roumania; 5. Italy - Commercial Contacts; 6. Air Operations; 7. Naval Operations - Sinking of two German Merchant Ships; 8. Army Operations - Poland; 9. Ministry of Information - Responsibility for Issue of Communiques; 10. Evacuation of Government Departments; 11. Adjournment of the House of Commons - Ministerial Statement
CAB,65,1,6,6-Sep-39,Conclusion,WM (39) 6,"N Chamberlain, J Simon, Chatfield, L Hore-Belisha, S Hoare, Halifax, W Churchill, K Wood, Hankey, J Anderson, O Stanley, H Wilson, D Pound, A Eden, E Burgin, C Newall, W Ironside.",1. Report by the Minister of Supply; 2. Evacuation of Government Departments; 3. Parliamentary Oppositions: Request for Information received from; 4. Union of South Africa - State of War with Germany - Flag to be flown by the Monitor Erebus; 5. Eire; 6. Northern Ireland; 7. Poland - Provision of additional cash resources - Safe keeping of Polish gold assets; 8. Turkey - Commercial Negotiations
CAB,65,1,7,7-Sep-39,Conclusion,WM (39) 7,"N Chamberlain, J Simon, Chatfield, L Hore-Belisha, S Hoare, Halifax, W Churchill, K Wood, Hankey, J Anderson, O Stanley, Macmillan, C Newall, W Ironside, A Eden, E Burgin, H Wilson, D Pound, A Waterfield.","1. Air Operations; 2. Naval Operations; 3. Army Situation - Poland - Other Theatres; 4. Egypt; 5. National Registration; 6. Closing of Theatres and Cinemas; 7. The position of Turkey in relation to the Straits Passage; 8. The possibility of establishing Communications with Poland through Roumania; 9. Roumania; 10. Air Defence of Scapa; 11. Purchasing Commission in the United States of America; 12. Publicity regarding Destruction of, or Damage to, Enemy Submarines, British Warships or Merchant Vessels; 13. Press Complaints of lack of Information - Press Conferences; 14. Periodical Reports by Departments; 15. The Military Situation: Preparation of Daily Appreciations for Dominion Governments; 16. Meetings of the War Cabinet on Sundays"
CAB,65,1,8,8-Sep-39,Conclusion,WM (39) 8,"N Chamberlain, J Simon, Chatfield, L Hore-Belisha, S Hoare, Halifax, W Churchill, K Wood, Hankey, J Anderson, W Elliot, J Wilson, D Pound, A Eden, H Ramsbotham, C Newall, W Ironside, W Douglas.",1. Air Operations; 2. The Naval Situation; 3. The Army Situation; 4. Assistance from India; 5. Evacuation of Government Departments; 6. Turkey; 7. Italy: Internal Political Situation; 8. Naval Operations - Question of despatch to Gibraltar of certain units from the Home Fleet; 9. Italy: Commercial Contacts; 10. The Balkans; 11. Egypt; 12. United States Naval Patrol in the Western Atlantic; 13. The Far Eastern Situation; 14. Poland: the Military Situation; 15. Obscuration of Lighting; 16. Action taken by the Dominions; 17. Eire: Representation of the United Kingdom in; 18. Meetings of the War Cabinet on Sundays
CAB,65,1,9,9-Sep-39,Conclusion,WM (39) 9,"N Chamberlain, J Simon, Chatfield, L Hore-Belisha, S Hoare, Halifax, W Churchill, K Wood, Hankey, J Anderson, O Stanley, L Burgin, C Newall, A Eden, E Brown, H Wilson, D Pound, W Ironside","1. Naval, Military and Air Situation - Weekly Resume No. 1; 2. Air Operations; 3. The Naval Situation; 4. The Army Situation; 5. Despatch of Aircraft to Poland; 6. Land Forces; 7. Turkey; 8. Report of Sir Nevile Henderson; 9. Far East - Release of Colonel Spear; 10. Far East - Japanese request for withdrawal of British gunboats from; 11. Egypt; 12. British Submarines in the Caribbean Sea; 13. Arab Attitude in the Middle East; 14. Extent of German Air Action in Poland; 15. Anticipated Duration of the War"
CAB,65,1,10,10-Sep-39,Conclusion,WM (39) 10,"S Hoare, L Hore-Belisha, Hankey, H Wilson, D Pound, C Newall, R Adam.",1. Air Operations; 2. The Naval Situation; 3. Land Operations; 4. Observance of Rules of War; 5. Poland; 6. Censorship
